LabelType,Lead,StartX,StartY,EndX,EndY,Author,CreateDate
P0,II,18,0,78,0,SYSTEM,2025-02-28 6:59:00 PM
P0,II,479,0,539,0,SYSTEM,2025-02-28 6:59:00 PM
P0,II,943,0,1003,0,SYSTEM,2025-02-28 6:59:00 PM
P0,II,1398,0,1458,0,SYSTEM,2025-02-28 6:59:00 PM
P0,II,1854,0,1914,0,SYSTEM,2025-02-28 6:59:00 PM
P0,II,2309,0,2369,0,SYSTEM,2025-02-28 6:59:00 PM
P0,II,2775,0,2835,0,SYSTEM,2025-02-28 6:59:00 PM
P0,II,3237,0,3297,0,SYSTEM,2025-02-28 6:59:00 PM
P0,II,3691,0,3751,0,SYSTEM,2025-02-28 6:59:00 PM
P0,II,4145,0,4205,0,SYSTEM,2025-02-28 6:59:00 PM
P0,II,4603,0,4663,0,SYSTEM,2025-02-28 6:59:00 PM
